Line,Line_Name,Station,Destination,Travel_Time_Seconds
NSL,North-South Line,Jurong East,Bukit Batok,120
NSL,North-South Line,Bukit Batok,Jurong East,120
NSL,North-South Line,Bukit Batok,Bukit Gombak,120
NSL,North-South Line,Bukit Gombak,Bukit Batok,120
NSL,North-South Line,Bukit Gombak,Choa Chu Kang,120
NSL,North-South Line,Choa Chu Kang,Bukit Gombak,120
NSL,North-South Line,Choa Chu Kang,Yew Tee,120
NSL,North-South Line,Yew Tee,Choa Chu Kang,120
NSL,North-South Line,Yew Tee,Kranji,120
NSL,North-South Line,Kranji,Yew Tee,120
NSL,North-South Line,Kranji,Marsiling,120
NSL,North-South Line,Marsiling,Kranji,120
NSL,North-South Line,Marsiling,Woodlands,120
NSL,North-South Line,Woodlands,Marsiling,120
NSL,North-South Line,Woodlands,Admiralty,120
NSL,North-South Line,Admiralty,Woodlands,120
NSL,North-South Line,Admiralty,Sembawang,120
NSL,North-South Line,Sembawang,Admiralty,120
NSL,North-South Line,Sembawang,Canberra,120
NSL,North-South Line,Canberra,Sembawang,120
NSL,North-South Line,Canberra,Yishun,120
NSL,North-South Line,Yishun,Canberra,120
NSL,North-South Line,Yishun,Khatib,120
NSL,North-South Line,Khatib,Yishun,120
NSL,North-South Line,Khatib,Yio Chu Kang,120
NSL,North-South Line,Yio Chu Kang,Khatib,120
NSL,North-South Line,Yio Chu Kang,Ang Mo Kio,120
NSL,North-South Line,Ang Mo Kio,Yio Chu Kang,120
NSL,North-South Line,Ang Mo Kio,Bishan,120
NSL,North-South Line,Bishan,Ang Mo Kio,120
NSL,North-South Line,Bishan,Braddell,120
NSL,North-South Line,Braddell,Bishan,120
NSL,North-South Line,Braddell,Toa Payoh,120
NSL,North-South Line,Toa Payoh,Braddell,120
NSL,North-South Line,Toa Payoh,Novena,120
NSL,North-South Line,Novena,Toa Payoh,120
NSL,North-South Line,Novena,Newton,120
NSL,North-South Line,Newton,Novena,120
NSL,North-South Line,Newton,Orchard,120
NSL,North-South Line,Orchard,Newton,120
NSL,North-South Line,Orchard,Somerset,120
NSL,North-South Line,Somerset,Orchard,120
NSL,North-South Line,Somerset,Dhoby Ghaut,120
NSL,North-South Line,Dhoby Ghaut,Somerset,120
NSL,North-South Line,Dhoby Ghaut,City Hall,120
NSL,North-South Line,City Hall,Dhoby Ghaut,120
NSL,North-South Line,City Hall,Raffles Place,120
NSL,North-South Line,Raffles Place,City Hall,120
NSL,North-South Line,Raffles Place,Marina Bay,120
NSL,North-South Line,Marina Bay,Raffles Place,120
NSL,North-South Line,Marina Bay,Marina South Pier,120
NSL,North-South Line,Marina South Pier,Marina Bay,120
EWL,East-West Line,Tuas Link,Tuas West Road,120
EWL,East-West Line,Tuas West Road,Tuas Crescent,120
EWL,East-West Line,Tuas West Road,Tuas Link,120
EWL,East-West Line,Tuas Crescent,Gul Circle,120
EWL,East-West Line,Tuas Crescent,Tuas West Road,120
EWL,East-West Line,Gul Circle,Joo Koon,120
EWL,East-West Line,Gul Circle,Tuas Crescent,120
EWL,East-West Line,Joo Koon,Pioneer,120
EWL,East-West Line,Joo Koon,Gul Circle,120
EWL,East-West Line,Pioneer,Boon Lay,120
EWL,East-West Line,Pioneer,Joo Koon,120
EWL,East-West Line,Boon Lay,Lakeside,120
EWL,East-West Line,Boon Lay,Pioneer,120
EWL,East-West Line,Lakeside,Chinese Garden,120
EWL,East-West Line,Lakeside,Boon Lay,120
EWL,East-West Line,Chinese Garden,Jurong East,120
EWL,East-West Line,Chinese Garden,Lakeside,120
EWL,East-West Line,Clementi,Dover,120
EWL,East-West Line,Clementi,Jurong East,120
EWL,East-West Line,Dover,Buona Vista,120
EWL,East-West Line,Dover,Clementi,120
EWL,East-West Line,Buona Vista,Commonwealth,120
EWL,East-West Line,Buona Vista,Dover,120
EWL,East-West Line,Commonwealth,Queenstown,120
EWL,East-West Line,Commonwealth,Buona Vista,120
EWL,East-West Line,Queenstown,Redhill,120
EWL,East-West Line,Queenstown,Commonwealth,120
EWL,East-West Line,Redhill,Tiong Bahru,120
EWL,East-West Line,Redhill,Queenstown,120
EWL,East-West Line,Tiong Bahru,Outram Park,120
EWL,East-West Line,Tiong Bahru,Redhill,120
EWL,East-West Line,Outram Park,Tanjong Pagar,120
EWL,East-West Line,Outram Park,Tiong Bahru,120
EWL,East-West Line,Tanjong Pagar,Raffles Place,120
EWL,East-West Line,Tanjong Pagar,Outram Park,120
EWL,East-West Line,Bugis,Lavender,120
EWL,East-West Line,Bugis,City Hall,120
EWL,East-West Line,Lavender,Kallang,120
EWL,East-West Line,Lavender,Bugis,120
EWL,East-West Line,Kallang,Aljunied,120
EWL,East-West Line,Kallang,Lavender,120
EWL,East-West Line,Aljunied,Paya Lebar,120
EWL,East-West Line,Aljunied,Kallang,120
EWL,East-West Line,Paya Lebar,Eunos,120
EWL,East-West Line,Paya Lebar,Aljunied,120
EWL,East-West Line,Eunos,Kembangan,120
EWL,East-West Line,Eunos,Paya Lebar,120
EWL,East-West Line,Kembangan,Bedok,120
EWL,East-West Line,Kembangan,Eunos,120
EWL,East-West Line,Bedok,Tanah Merah,120
EWL,East-West Line,Bedok,Kembangan,120
EWL,East-West Line,Tanah Merah,Simei,120
EWL,East-West Line,Tanah Merah,Bedok,120
EWL,East-West Line,Tanah Merah,Expo,120
EWL,East-West Line,Simei,Tampines,120
EWL,East-West Line,Simei,Tanah Merah,120
EWL,East-West Line,Tampines,Pasir Ris,120
EWL,East-West Line,Tampines,Simei,120
EWL,East-West Line,Pasir Ris,Tampines,120
EWL,East-West Line,Expo,Tanah Merah,120
EWL,East-West Line,Expo,Changi Airport,120
EWL,East-West Line,Changi Airport,Expo,120
NEL,North-East Line,HarbourFront,Outram Park,120
NEL,North-East Line,Chinatown,Outram Park,120
NEL,North-East Line,Chinatown,Clarke Quay,120
NEL,North-East Line,Clarke Quay,Chinatown,120
NEL,North-East Line,Clarke Quay,Dhoby Ghaut,120
NEL,North-East Line,Little India,Dhoby Ghaut,120
NEL,North-East Line,Little India,Farrer Park,120
NEL,North-East Line,Farrer Park,Little India,120
NEL,North-East Line,Farrer Park,Boon Keng,120
NEL,North-East Line,Boon Keng,Farrer Park,120
NEL,North-East Line,Boon Keng,Potong Pasir,120
NEL,North-East Line,Potong Pasir,Boon Keng,120
NEL,North-East Line,Potong Pasir,Woodleigh,120
NEL,North-East Line,Woodleigh,Potong Pasir,120
NEL,North-East Line,Woodleigh,Serangoon,120
NEL,North-East Line,Serangoon,Woodleigh,120
NEL,North-East Line,Serangoon,Kovan,120
NEL,North-East Line,Kovan,Serangoon,120
NEL,North-East Line,Kovan,Hougang,120
NEL,North-East Line,Hougang,Kovan,120
NEL,North-East Line,Hougang,Buangkok,120
NEL,North-East Line,Buangkok,Hougang,120
NEL,North-East Line,Buangkok,Sengkang,120
NEL,North-East Line,Sengkang,Buangkok,120
NEL,North-East Line,Sengkang,Punggol,120
NEL,North-East Line,Punggol,Sengkang,120
NEL,North-East Line,Punggol,Punggol Coast,120
NEL,North-East Line,Punggol Coast,Punggol,120
CCL,Circle Line,HarbourFront,Telok Blangah,120
CCL,Circle Line,HarbourFront,Bayfront,120
