Line,Station,Destination
NSL,Jurong East,Bukit Batok
NSL,Bukit Batok,Jurong East
NSL,Bukit Batok,Bukit Gombak
NSL,Bukit Gombak,Bukit Batok
NSL,Bukit Gombak,Choa Chu Kang
NSL,Choa Chu Kang,Bukit Gombak
NSL,Choa Chu Kang,Yew Tee
NSL,Yew Tee,Choa Chu Kang
NSL,Yew Tee,Sungei Kadut
NSL,Sungei Kadut,Yew Tee
NSL,Sungei Kadut,Kranji
NSL,Kranji,Sungei Kadut
NSL,Kranji,Marsiling
NSL,Marsiling,Kranji
NSL,Marsiling,Woodlands
NSL,Woodlands,Marsiling
NSL,Woodlands,Admiralty
NSL,Admiralty,Woodlands
NSL,Admiralty,Sembawang
NSL,Sembawang,Admiralty
NSL,Sembawang,Canberra
NSL,Canberra,Sembawang
NSL,Canberra,Yishun
NSL,Yishun,Canberra
NSL,Yishun,Khatib
NSL,Khatib,Yishun
NSL,Khatib,Yio Chu Kang
NSL,Yio Chu Kang,Khatib
NSL,Yio Chu Kang,Ang Mo Kio
NSL,Ang Mo Kio,Yio Chu Kang
NSL,Ang Mo Kio,Bishan
NSL,Bishan,Ang Mo Kio
NSL,Bishan,Braddell
NSL,Braddell,Bishan
NSL,Braddell,Toa Payoh
NSL,Toa Payoh,Braddell
NSL,Toa Payoh,Novena
NSL,Novena,Toa Payoh
NSL,Novena,Newton
NSL,Newton,Novena
NSL,Newton,Orchard
NSL,Orchard,Newton
NSL,Orchard,Somerset
NSL,Somerset,Orchard
NSL,Somerset,Dhoby Ghaut
NSL,Dhoby Ghaut,Somerset
NSL,Dhoby Ghaut,City Hall
NSL,City Hall,Dhoby Ghaut
NSL,City Hall,Raffles Place
NSL,Raffles Place,City Hall
NSL,Raffles Place,Marina Bay
NSL,Marina Bay,Raffles Place
NSL,Marina Bay,Marina South Pier
NSL,Marina South Pier,Marina Bay
EWL,Tuas Link,Tuas West Road
EWL,Tuas West Road,Tuas Crescent
EWL,Tuas West Road,Tuas Link
